timestamp,Month,solar_power_per_mw
2022-01-01 00:00:00,Jan,0
2022-01-01 01:00:00,Jan,0
2022-01-01 02:00:00,Jan,0
2022-01-01 03:00:00,Jan,0
2022-01-01 04:00:00,Jan,0
2022-01-01 05:00:00,Jan,0
2022-01-01 06:00:00,Jan,0
2022-01-01 07:00:00,Jan,0
2022-01-01 08:00:00,Jan,12992
2022-01-01 09:00:00,Jan,58015
2022-01-01 10:00:00,Jan,92864
2022-01-01 11:00:00,Jan,113868
2022-01-01 12:00:00,Jan,112756
2022-01-01 13:00:00,Jan,91131
2022-01-01 14:00:00,Jan,55373
2022-01-01 15:00:00,Jan,12552
2022-01-01 16:00:00,Jan,0
2022-01-01 17:00:00,Jan,0
2022-01-01 18:00:00,Jan,0
2022-01-01 19:00:00,Jan,0
2022-01-01 20:00:00,Jan,0
2022-01-01 21:00:00,Jan,0
2022-01-01 22:00:00,Jan,0
2022-01-01 23:00:00,Jan,0
2022-02-01 00:00:00,Feb,0
2022-02-01 01:00:00,Feb,0
2022-02-01 02:00:00,Feb,0
2022-02-01 03:00:00,Feb,0
2022-02-01 04:00:00,Feb,0
2022-02-01 05:00:00,Feb,0
2022-02-01 06:00:00,Feb,0
2022-02-01 07:00:00,Feb,5888
2022-02-01 08:00:00,Feb,65771
2022-02-01 09:00:00,Feb,142684
2022-02-01 10:00:00,Feb,198615
2022-02-01 11:00:00,Feb,236650
2022-02-01 12:00:00,Feb,248172
2022-02-01 13:00:00,Feb,206342
2022-02-01 14:00:00,Feb,146761
2022-02-01 15:00:00,Feb,72120
2022-02-01 16:00:00,Feb,11731
2022-02-01 17:00:00,Feb,0
2022-02-01 18:00:00,Feb,0
2022-02-01 19:00:00,Feb,0
2022-02-01 20:00:00,Feb,0
2022-02-01 21:00:00,Feb,0
2022-02-01 22:00:00,Feb,0
2022-02-01 23:00:00,Feb,0
2022-03-01 00:00:00,Mar,0
2022-03-01 01:00:00,Mar,0
2022-03-01 02:00:00,Mar,0
2022-03-01 03:00:00,Mar,0
2022-03-01 04:00:00,Mar,0
2022-03-01 05:00:00,Mar,0
2022-03-01 06:00:00,Mar,8479
2022-03-01 07:00:00,Mar,83835
2022-03-01 08:00:00,Mar,176597
2022-03-01 09:00:00,Mar,250154
2022-03-01 10:00:00,Mar,311836
2022-03-01 11:00:00,Mar,357640
2022-03-01 12:00:00,Mar,368562
2022-03-01 13:00:00,Mar,320257
2022-03-01 14:00:00,Mar,253990
2022-03-01 15:00:00,Mar,179308
2022-03-01 16:00:00,Mar,87163
2022-03-01 17:00:00,Mar,12036
2022-03-01 18:00:00,Mar,0
2022-03-01 19:00:00,Mar,0
2022-03-01 20:00:00,Mar,0
2022-03-01 21:00:00,Mar,0
2022-03-01 22:00:00,Mar,0
2022-03-01 23:00:00,Mar,0
2022-04-01 00:00:00,Apr,0
2022-04-01 01:00:00,Apr,0
2022-04-01 02:00:00,Apr,0
2022-04-01 03:00:00,Apr,0
2022-04-01 04:00:00,Apr,0
2022-04-01 05:00:00,Apr,14382
2022-04-01 06:00:00,Apr,92069
2022-04-01 07:00:00,Apr,197481
2022-04-01 08:00:00,Apr,304222
2022-04-01 09:00:00,Apr,392416
2022-04-01 10:00:00,Apr,459937
2022-04-01 11:00:00,Apr,498380
2022-04-01 12:00:00,Apr,494738
2022-04-01 13:00:00,Apr,449457
2022-04-01 14:00:00,Apr,372209
2022-04-01 15:00:00,Apr,278126
2022-04-01 16:00:00,Apr,165992
2022-04-01 17:00:00,Apr,62559
2022-04-01 18:00:00,Apr,5302
2022-04-01 19:00:00,Apr,0
2022-04-01 20:00:00,Apr,0
2022-04-01 21:00:00,Apr,0
2022-04-01 22:00:00,Apr,0
2022-04-01 23:00:00,Apr,0
2022-05-01 00:00:00,May,0
2022-05-01 01:00:00,May,0
2022-05-01 02:00:00,May,0
2022-05-01 03:00:00,May,0
2022-05-01 04:00:00,May,8129
2022-05-01 05:00:00,May,59325
2022-05-01 06:00:00,May,150252
2022-05-01 07:00:00,May,254504
2022-05-01 08:00:00,May,356173
2022-05-01 09:00:00,May,434672
2022-05-01 10:00:00,May,496284
2022-05-01 11:00:00,May,525746
2022-05-01 12:00:00,May,521796
2022-05-01 13:00:00,May,483530
2022-05-01 14:00:00,May,419589
2022-05-01 15:00:00,May,324868
2022-05-01 16:00:00,May,217436
2022-05-01 17:00:00,May,111530
2022-05-01 18:00:00,May,32046
2022-05-01 19:00:00,May,673
2022-05-01 20:00:00,May,0
2022-05-01 21:00:00,May,0
2022-05-01 22:00:00,May,0
2022-05-01 23:00:00,May,0
2022-06-01 00:00:00,Jun,0
2022-06-01 01:00:00,Jun,0
2022-06-01 02:00:00,Jun,0
2022-06-01 03:00:00,Jun,0
2022-06-01 04:00:00,Jun,18201
2022-06-01 05:00:00,Jun,72896
2022-06-01 06:00:00,Jun,162033
2022-06-01 07:00:00,Jun,263538
2022-06-01 08:00:00,Jun,359976
2022-06-01 09:00:00,Jun,438542
2022-06-01 10:00:00,Jun,488921
2022-06-01 11:00:00,Jun,529054
2022-06-01 12:00:00,Jun,526055
2022-06-01 13:00:00,Jun,490416
2022-06-01 14:00:00,Jun,435441
2022-06-01 15:00:00,Jun,350524
2022-06-01 16:00:00,Jun,249251
2022-06-01 17:00:00,Jun,140680
2022-06-01 18:00:00,Jun,53857
2022-06-01 19:00:00,Jun,8385
2022-06-01 20:00:00,Jun,0
2022-06-01 21:00:00,Jun,0
2022-06-01 22:00:00,Jun,0
2022-06-01 23:00:00,Jun,0
2022-07-01 00:00:00,Jul,0
2022-07-01 01:00:00,Jul,0
2022-07-01 02:00:00,Jul,0
2022-07-01 03:00:00,Jul,0
2022-07-01 04:00:00,Jul,8156
2022-07-01 05:00:00,Jul,56648
2022-07-01 06:00:00,Jul,138499
2022-07-01 07:00:00,Jul,242016
2022-07-01 08:00:00,Jul,337417
2022-07-01 09:00:00,Jul,418694
2022-07-01 10:00:00,Jul,476533
2022-07-01 11:00:00,Jul,514986
2022-07-01 12:00:00,Jul,520102
2022-07-01 13:00:00,Jul,481783
2022-07-01 14:00:00,Jul,427238
2022-07-01 15:00:00,Jul,343261
2022-07-01 16:00:00,Jul,241455
2022-07-01 17:00:00,Jul,135596
2022-07-01 18:00:00,Jul,49421
2022-07-01 19:00:00,Jul,5302
2022-07-01 20:00:00,Jul,0
2022-07-01 21:00:00,Jul,0
2022-07-01 22:00:00,Jul,0
2022-07-01 23:00:00,Jul,0
2022-08-01 00:00:00,Aug,0
2022-08-01 01:00:00,Aug,0
2022-08-01 02:00:00,Aug,0
2022-08-01 03:00:00,Aug,0
2022-08-01 04:00:00,Aug,0
2022-08-01 05:00:00,Aug,24521
2022-08-01 06:00:00,Aug,100753
2022-08-01 07:00:00,Aug,200761
2022-08-01 08:00:00,Aug,301097
2022-08-01 09:00:00,Aug,382295
2022-08-01 10:00:00,Aug,441107
2022-08-01 11:00:00,Aug,480408
2022-08-01 12:00:00,Aug,478801
2022-08-01 13:00:00,Aug,439801
2022-08-01 14:00:00,Aug,370663
2022-08-01 15:00:00,Aug,288545
2022-08-01 16:00:00,Aug,187228
2022-08-01 17:00:00,Aug,87671
2022-08-01 18:00:00,Aug,15747
2022-08-01 19:00:00,Aug,0
2022-08-01 20:00:00,Aug,0
2022-08-01 21:00:00,Aug,0
2022-08-01 22:00:00,Aug,0
2022-08-01 23:00:00,Aug,0
2022-09-01 00:00:00,Sep,0
2022-09-01 01:00:00,Sep,0
2022-09-01 02:00:00,Sep,0
2022-09-01 03:00:00,Sep,0
2022-09-01 04:00:00,Sep,0
2022-09-01 05:00:00,Sep,0
2022-09-01 06:00:00,Sep,51037
2022-09-01 07:00:00,Sep,137984
2022-09-01 08:00:00,Sep,227583
2022-09-01 09:00:00,Sep,300524
2022-09-01 10:00:00,Sep,360740
2022-09-01 11:00:00,Sep,390023
2022-09-01 12:00:00,Sep,379205
2022-09-01 13:00:00,Sep,335984
2022-09-01 14:00:00,Sep,265829
2022-09-01 15:00:00,Sep,183903
2022-09-01 16:00:00,Sep,90779
2022-09-01 17:00:00,Sep,16998
2022-09-01 18:00:00,Sep,0
2022-09-01 19:00:00,Sep,0
2022-09-01 20:00:00,Sep,0
2022-09-01 21:00:00,Sep,0
2022-09-01 22:00:00,Sep,0
2022-09-01 23:00:00,Sep,0
2022-10-01 00:00:00,Oct,0
2022-10-01 01:00:00,Oct,0
2022-10-01 02:00:00,Oct,0
2022-10-01 03:00:00,Oct,0
2022-10-01 04:00:00,Oct,0
2022-10-01 05:00:00,Oct,0
2022-10-01 06:00:00,Oct,1766
2022-10-01 07:00:00,Oct,61746
2022-10-01 08:00:00,Oct,136351
2022-10-01 09:00:00,Oct,192966
2022-10-01 10:00:00,Oct,242920
2022-10-01 11:00:00,Oct,278604
2022-10-01 12:00:00,Oct,254009
2022-10-01 13:00:00,Oct,208252
2022-10-01 14:00:00,Oct,146306
2022-10-01 15:00:00,Oct,74352
2022-10-01 16:00:00,Oct,7505
2022-10-01 17:00:00,Oct,0
2022-10-01 18:00:00,Oct,0
2022-10-01 19:00:00,Oct,0
2022-10-01 20:00:00,Oct,0
2022-10-01 21:00:00,Oct,0
2022-10-01 22:00:00,Oct,0
2022-10-01 23:00:00,Oct,0
2022-11-01 00:00:00,Nov,0
2022-11-01 01:00:00,Nov,0
2022-11-01 02:00:00,Nov,0
2022-11-01 03:00:00,Nov,0
2022-11-01 04:00:00,Nov,0
2022-11-01 05:00:00,Nov,0
2022-11-01 06:00:00,Nov,0
2022-11-01 07:00:00,Nov,3347
2022-11-01 08:00:00,Nov,43057
2022-11-01 09:00:00,Nov,80379
2022-11-01 10:00:00,Nov,122522
2022-11-01 11:00:00,Nov,141877
2022-11-01 12:00:00,Nov,127261
2022-11-01 13:00:00,Nov,87388
2022-11-01 14:00:00,Nov,47423
2022-11-01 15:00:00,Nov,8899
2022-11-01 16:00:00,Nov,0
2022-11-01 17:00:00,Nov,0
2022-11-01 18:00:00,Nov,0
2022-11-01 19:00:00,Nov,0
2022-11-01 20:00:00,Nov,0
2022-11-01 21:00:00,Nov,0
2022-11-01 22:00:00,Nov,0
2022-11-01 23:00:00,Nov,0
2022-12-01 00:00:00,Dec,0
2022-12-01 01:00:00,Dec,0
2022-12-01 02:00:00,Dec,0
2022-12-01 03:00:00,Dec,0
2022-12-01 04:00:00,Dec,0
2022-12-01 05:00:00,Dec,0
2022-12-01 06:00:00,Dec,0
2022-12-01 07:00:00,Dec,0
2022-12-01 08:00:00,Dec,9338
2022-12-01 09:00:00,Dec,48198
2022-12-01 10:00:00,Dec,74417
