,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,8129,18201,8156,0,0,0,0,0
5 - 6,0,0,0,14382,59325,72896,56648,24521,0,0,0,0
6 - 7,0,0,8479,92069,150252,162033,138499,100753,51037,1766,0,0
7 - 8,0,5888,83835,197481,254504,263538,242016,200761,137984,61746,3347,0
8 - 9,12992,65771,176597,304222,356173,359976,337417,301097,227583,136351,43057,9338
9 - 10,58015,142684,250154,392416,434672,438542,418694,382295,300524,192966,80379,48198
10 - 11,92864,198615,311836,459937,496284,488921,476533,441107,360740,242920,122522,74417
11 - 12,113868,236650,357640,498380,525746,529054,514986,480408,390023,278604,141877,87827
12 - 13,112756,248172,368562,494738,521796,526055,520102,478801,379205,254009,127261,83199
13 - 14,91131,206342,320257,449457,483530,490416,481783,439801,335984,208252,87388,62019
14 - 15,55373,146761,253990,372209,419589,435441,427238,370663,265829,146306,47423,28967
15 - 16,12552,72120,179308,278126,324868,350524,343261,288545,183903,74352,8899,1351
16 - 17,0,11731,87163,165992,217436,249251,241455,187228,90779,7505,0,0
17 - 18,0,0,12036,62559,111530,140680,135596,87671,16998,0,0,0
18 - 19,0,0,0,5302,32046,53857,49421,15747,0,0,0,0
19 - 20,0,0,0,0,673,8385,5302,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
