,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,342,6575,1498,0,0,0,0,0
5 - 6,0,0,0,1288,28510,41036,29427,4052,0,0,0,0
6 - 7,0,0,0,32167,94991,105705,89515,49806,5851,0,0,0
7 - 8,0,0,24066,122929,188228,196573,175706,125575,68497,5234,0,0
8 - 9,0,6855,113526,226331,290379,294982,269230,218068,148837,57495,952,0
9 - 10,7027,58581,195385,319026,382328,378939,355297,299175,222278,125681,34412,2851
10 - 11,46250,109045,255719,387934,447213,444228,424115,360546,265153,168459,61064,31524
11 - 12,70044,156418,302727,432883,481124,475940,452803,404704,302463,201649,80926,56567
12 - 13,80971,185880,334182,453698,495493,498784,476769,428032,320925,212880,84909,62610
13 - 14,76209,181959,332127,436622,484037,480622,468281,413751,301211,189932,71177,53718
14 - 15,52957,132538,277746,381505,435627,439543,423198,368964,249557,141444,46264,24825
15 - 16,16655,78120,209339,306678,371471,381594,367304,302389,186926,81754,13450,2807
16 - 17,0,30270,131846,223087,285148,299051,291977,227293,122771,22585,0,0
17 - 18,0,0,48206,124332,183765,205301,199932,137995,50474,0,0,0
18 - 19,0,0,1813,38248,89147,114003,108327,58417,2219,0,0,0
19 - 20,0,0,0,1448,24246,44525,39265,8990,0,0,0,0
20 - 21,0,0,0,0,686,8014,4589,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
