,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,2514,0,0,0,0,0,0
4 - 5,0,0,0,0,21071,33502,22002,941,0,0,0,0
5 - 6,0,0,0,31923,86682,96785,77717,44354,4964,0,0,0
6 - 7,0,0,21051,120746,182668,187543,164264,124223,65950,5598,0,0
7 - 8,0,11809,108386,228742,284946,286231,263494,220137,147075,65260,3935,0
8 - 9,16167,67680,192017,326095,381489,374596,350703,305211,226009,137767,41052,9168
9 - 10,52692,127397,256129,393955,455364,444461,421448,374839,280158,183479,66544,40106
10 - 11,77047,179210,309357,447437,498729,478649,456872,416156,324946,222329,92763,61002
11 - 12,90674,205219,345900,476301,517885,503986,484746,448651,343459,234160,98275,68595
12 - 13,84429,205773,339373,466791,502862,493251,476190,441598,332761,209362,82829,59889
13 - 14,61486,157532,282197,410361,452900,448196,436570,401520,285936,161685,57246,38134
14 - 15,27540,92877,214708,333500,382708,393021,378200,331201,217762,102731,22782,7578
15 - 16,1738,36162,141349,240399,295346,308526,296995,248064,141343,36623,170,0
16 - 17,0,1282,54219,132588,190072,211423,199262,150538,58931,1207,0,0
17 - 18,0,0,1558,39593,89282,113625,105978,61788,4984,0,0,0
18 - 19,0,0,0,1186,22434,41549,36033,9211,0,0,0,0
19 - 20,0,0,0,0,336,5799,3418,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
