,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,9000,20622,9230,0,0,0,0,0
5 - 6,0,0,0,17373,63705,78930,60539,28964,944,0,0,0
6 - 7,0,0,9032,94686,154660,168075,144453,106169,50696,1917,0,0
7 - 8,0,6044,90440,200144,261931,266282,246749,206471,137383,61319,3362,0
8 - 9,12985,65414,178880,305287,367249,363677,342524,302241,226469,134332,42586,8327
9 - 10,57967,139454,250568,390110,448192,446702,422992,380007,293124,187230,76476,45042
10 - 11,90131,194280,311177,456692,503734,488918,473669,436979,349312,235066,114300,71564
11 - 12,109033,235329,354916,496261,537622,524612,513546,474942,379410,265211,130303,83387
12 - 13,106708,244119,360096,490728,529331,522709,515618,475631,367883,241758,117576,79250
13 - 14,84271,198189,314190,444831,487289,483388,479149,434589,327508,197745,80368,58679
14 - 15,49921,137413,248597,367959,417729,426271,423117,367063,258284,136213,42746,24307
15 - 16,8718,64035,172348,273187,321941,343651,339671,285722,177113,66444,6959,940
16 - 17,0,11212,81924,161490,214179,243197,238458,182331,85118,7146,0,0
17 - 18,0,0,9182,58883,107089,137481,131512,83189,14293,0,0,0
18 - 19,0,0,0,5072,30748,52180,47457,14692,0,0,0,0
19 - 20,0,0,0,0,670,8424,5092,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
